MODEL,PROGRAMMING_LANGUAGE,BEST_PROBE_LAYER,BEST_PROBE_ACCURACY,STEERING_VECTOR_NORM,SEPARATION,MEAN_PROBE_ACCURACY
Qwen/Qwen3-1.7B,php,23,0.554,96.82848,WEAK/NO,0.5190344827586206
Qwen/Qwen3-1.7B,css,1,0.32,5.21681022644043,WEAK/NO,0.2455172413793103
Qwen/Qwen3-1.7B,cs,11,0.3636363636363636,9.364262580871582,WEAK/NO,0.312539184952978
Qwen/Qwen3-1.7B,c,1,0.51,1.4265336990356443,WEAK/NO,0.4764827586206896
Qwen/Qwen3-1.7B,t,0,0.4,0.4394524097442627,WEAK/NO,0.3703448275862068
Qwen/Qwen3-1.7B,jelly,0,0.1833333333333333,0.0,WEAK/NO,0.1833333333333333
Qwen/Qwen3-1.7B,cc,0,0.2527777777777777,0.079731248319149,WEAK/NO,0.196647509578544
Qwen/Qwen3-1.7B,htm,0,0.3,0.2282977551221847,WEAK/NO,0.239655172413793
Qwen/Qwen3-1.7B,S,17,0.0952380952380952,28.26763153076172,WEAK/NO,0.048111658456486
Qwen/Qwen3-1.7B,Other,5,0.648,10.882246017456056,WEAK/NO,0.6101379310344828
Qwen/Qwen3-1.7B,go,0,0.3275829827021972,0.1448477208614349,WEAK/NO,0.2862633199529267
Qwen/Qwen3-1.7B,phtml,0,0.32,0.413107693195343,WEAK/NO,0.2272413793103448
Qwen/Qwen3-1.7B,sh,0,0.4019943019943019,0.2616247832775116,WEAK/NO,0.2996365065330582
Qwen/Qwen3-1.7B,phpt,1,0.9414285714285716,16.04717445373535,YES,0.936272577996716
Qwen/Qwen3-1.7B,yaml,0,0.4464285714285714,0.5594822764396667,WEAK/NO,0.3809113300492611
Qwen/Qwen3-1.7B,inc,14,0.3076923076923077,13.093338012695312,WEAK/NO,0.2547303271441202
Qwen/Qwen3-1.7B,html,17,0.6188679245283019,48.1951904296875,WEAK/NO,0.5962264150943395
Qwen/Qwen3-1.7B,ctp,5,0.4651515151515151,6.9751787185668945,WEAK/NO,0.437826541274817
Qwen/Qwen3-1.7B,java,0,0.502,0.2164229601621627,WEAK/NO,0.4466896551724137
Qwen/Qwen3-1.7B,hh,0,0.1533333333333333,0.0,WEAK/NO,0.1533333333333333
Qwen/Qwen3-1.7B,jsp,0,0.24,0.254721075296402,WEAK/NO,0.1806896551724138
Qwen/Qwen3-1.7B,py,22,0.5200000000000001,100.92863464355467,WEAK/NO,0.4873793103448276
Qwen/Qwen3-1.7B,sql,7,0.29,2.898392677307129,WEAK/NO,0.2255172413793103
Qwen/Qwen3-1.7B,spec,2,0.1904761904761904,3.3482961654663086,WEAK/NO,0.1425287356321838
Qwen/Qwen3-1.7B,pm,7,0.1948275862068965,3.4150736331939697,WEAK/NO,0.1732036691014098
Qwen/Qwen3-1.7B,pl,4,0.2619047619047619,3.7348599433898926,WEAK/NO,0.2087027914614121
Qwen/Qwen3-1.7B,rs,2,0.2857142857142857,3.6587984561920166,WEAK/NO,0.2357963875205254
Qwen/Qwen3-1.7B,scss,0,0.6619047619047619,0.8911727666854858,YES,0.6619047619047618
Qwen/Qwen3-1.7B,conf,15,0.3333333333333333,29.35381317138672,WEAK/NO,0.2586206896551724
Qwen/Qwen3-1.7B,cxx,1,0.4454545454545455,7.622815132141113,WEAK/NO,0.4336677115987461
Qwen/Qwen3-1.7B,rb,6,0.454,3.7583460807800297,WEAK/NO,0.4022068965517242
Qwen/Qwen3-1.7B,xml,12,0.3588571428571429,21.875131607055664,WEAK/NO,0.315856439127375
Qwen/Qwen3-1.7B,js,16,0.526,18.84992790222168,WEAK/NO,0.4893103448275862
Qwen/Qwen3-1.7B,coffee,19,0.4666666666666667,91.25399780273438,WEAK/NO,0.3840722495894909
Qwen/Qwen3-1.7B,tpl,17,0.7058823529411766,142.09573364257812,YES,0.6947261663286002
Qwen/Qwen3-1.7B,as,4,0.2,2.123990774154663,WEAK/NO,0.1666666666666666
Qwen/Qwen3-1.7B,cgi,0,0.27,0.4481559991836548,WEAK/NO,0.1548275862068965
Qwen/Qwen3-1.7B,ts,19,0.42,54.47968292236328,WEAK/NO,0.3575862068965516
Qwen/Qwen3-1.7B,h,0,0.45,0.1288447380065918,WEAK/NO,0.4126896551724137
Qwen/Qwen3-1.7B,htaccess,5,0.9047619047619048,36.89142608642578,YES,0.8779967159277506
Qwen/Qwen3-1.7B,vim,8,0.5266666666666666,14.611536026000977,WEAK/NO,0.4241379310344827
Qwen/Qwen3-1.7B,lua,6,0.3533333333333333,9.12217903137207,WEAK/NO,0.3101149425287356
Qwen/Qwen3-1.7B,scala,8,0.6833333333333333,15.87310791015625,YES,0.621264367816092
Qwen/Qwen3-1.7B,cpp,0,0.344,0.0877991840243339,WEAK/NO,0.2897931034482759
Qwen/Qwen3-1.7B,tt,0,0.3761904761904761,0.3755112290382385,WEAK/NO,0.3001642036124795
Qwen/Qwen3-1.7B,yml,24,0.5111111111111111,283.0862731933594,WEAK/NO,0.457471264367816
Qwen/Qwen3-1.7B,json,0,0.3590909090909091,0.2487951666116714,WEAK/NO,0.2282131661442006
Qwen/Qwen3-1.7B,m,6,0.35714285714285715,7.063680171966553,WEAK/NO,0.32660098522167497
